Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
White,7.75,238,Nonfiction/autobiography ,Introspective ,Joyce Johnson 
Bronze ,8,330,Fiction/modern,Affectionate,
Green 1,8,132,Fiction/modern,Ambivalent,NYRB
Blue 3,8,144,Outdoor/how-to,Minimalist,
Multi ,8,288,Mystery,Affectionate,Josephine Tey
Multi,8,224,Mystery,Ambivalent,Josephine Tey
Orange 2,7.75,454,Fiction/contemporary ,Guilty,Philip Kerr
Blue 3,8,388,Fiction/contemporary,Curious,
Multi,8.25,220,Fiction/contemporary ,Wist,
Black,8.25,246,Books about books,Guilty,
White,8,244,Fiction/modern,Wistful,
White,8,284,Fiction/contemporary ,Affectionate,Bret Easton Ellis
White,8,406,Fiction/contemporary ,Ambivalent,Bret Easton Ellis
White,8,120,Fiction/contemporary ,Ambivalent,Ondaatje 
Multi,8,252,Nonfiction/autobigraphy,Ambivalent,
Blue 1,8,230,Fiction/children's ,Curious,Dahl
Green 3,8.25,224,Fiction/childrens,Introspective,
Brown 1,7,192,Fiction/modern,Wistful,Spark
Blue 3,5.75,176,Pictures/outdoor,Affectionate,
White,7.5,196,Fiction/postmodern classic,Wistful,
Brown 3,8,104,Fiction/contemporary ,Ambivalent,
White,7.5,160,Nonfiction/reference,Ambivalent,
Red 3,7.5,230,Nonfiction/instructional,Affectionate,
Yellow 2,8.25,242,Sports/surfing,Excited,
Blue 3,8.5,588,Fiction/19th cent,Affectionate,Edith Wharton
Black,8,598,Fiction/modern,Ambivalent,
White ,8,164,Poetry,Cringestalgia,Millay
Green 1,7.75,176,Poetry,Ambivalent,Millay
Blue 1,8.25,98,Fiction/satire,Guilty,Dover Thrift
Brown 1,8.25,68,Poetry,Ambivalent,Dover Thrift
White,8.25,56,Poetry,Affectionate,Dover Thrift
Blue 3,8.25,230,Poetry,Nostalgic ,Dover Thrift
Gray,8,248,Fiction,Ambivalent,
Black,8,734,Poetry,Wistful,
Blue 1,8.25,256,Poetry,Affectionate,
Multi,8.5,276,Nonfiction/essay,Excited,
Black,7.75,348,Fiction/19th cent,Ambivalent,Edith Wharton
Blue 2,8.25,330,Fiction/children's ,Affectionate,LM Mongomery
Black,8.5,352,Fiction/modern classic,Wistful,Fitzgerald 
Multi,8.25,368,Nonfiction/autobiography ,Guilty,
White,9,498,Nonfiction/history,Wistful,
Gray,8.75,560,Sports/general,Wistful,
Gray,7.75,340,Nonfiction/autobiography ,Cringestalgia,
Blue 1,8,288,Nonfiction/essay,Remniscence,
Balck,8.5,190,Nonfiction/history,Wistful,
Blue 3,8.5,294,Nonfiction/history,Ambivalent,
White,9.5,340,Fiction/children's ,Introspective,Dahl
Orange 3,8.25,686,Fiction/modern,Ambivalent,Dahl
Purple 1,8,206,Nonfiction/histoy,Proud,
Multi,9.25,314,Nonfiction/history,Introspective,
White,8,208,Fiction/modern,Ambivalent,Spark
Black,8,136,Fiction/modern,Ambivalent,Spark 
Red 3,8.5,476,Fiction/moderm,Introspective ,Spark
Silver,7.5,182,Nonfiction/history,Excited,Solnit
Blue 2,8.25,312,Fiction/modern,Ambivalent,
Black,8,178,Fiction/modern,Excited,Simenon/NYRB
Black,8,162,Fiction/modern,Ambivalent,Simenon/NYRB
Silver,8.5,134,Fiction/contemporary ,Affectionate,
Black,9.5,404,Fiction/contemporary ,Wistful,
Copper,9.25,104,Comic/novel,Proud,
White ,8,320,Fiction/contemporary ,Affectionate,
White,9,298,Fiction/contemporary ,Proud,
Black,7.75,400,Fiction/18th cent,Ambivalent,
White,7.5,192,Nonfiction/essays,Wistful,
White ,7.75,106,Fiction/18th cent,Guilty,Flaubert
Multi,9.75,64,Nonfiction/children's/French ,Nostalgic ,
Blue 1,8.25,320,Nonfiction/essays,Minimalist,Sontag
Blue 3,8,278,Fiction/modern,Minimalist,
Black,8.25,296,Mystery,Ambivalent,
Black,9.25,402,Sports/basketball,Affectionate,
Red 3,8,166,Fiction/modern,Excited,Spark
Multi,8,230,Nonfiction/history,Excited,
Orange 3,9.25,256,Picture/book about books,Excited,
White,8.75,108,Nonfiction/autobiography ,Affectionate,De Beauvoir 
Multi,8.5,224,Fiction/modern,Introspective,De Beauvoir 
Orange 1,8.5,220,Fiction/modern,Affectionate,De Beauvoir 
Blue 3,8.25,792,Philospohy,Nostalgic ,De Beauvoir 
Red 3,8,408,Fiction/modern,Cringestalgia,De Beauvoir 
Brown 2,8,162,Philosophy ,Introspective,De Beauvoir 
Multi,9.5,484,Nonfiction/history,Affectionate,Mike Davis 
Brown 1,9.5,546,Nonfiction/history,Ambivalent,
Green 1,9.75,614,Nonfiction/history,Minimalist,
White,9.25,720,Nonfiction/biography,Affectionate,
Multi,9.5,612,Fiction/modern classic,Ambivalent,De Beauvoir 
Green 1,9.25,586,Philosophy,Wistful,De Beauvoir 
Green 2,9,468,Nonfiction/autobiography ,Ambivalent,De Beauvoir 
Green 1,9,480,Nonfiction/autobiography ,Ambivalent,De Beauvoir 
White,9,398,Nonfiction/autobiography ,Affectionate,De Beauvoir 
Brown 2,7,398,Fiction/19th cent classic,Affectionate,Flaubert
Blue 3,7,288,Fiction/postmodern,Affectionate,
Green 2,7,176,Fiction/modern,Affectionate,Simenon
Blue 1,8.25,246,Fiction/children's ,Ambivalent,LM Montgomery 
Brown 1,8.25,248,Fiction/children's ,Ambivalent,LM Montgomery 
Purple 1,6.75,282,Fiction/modern classic,Affectionate,
Orange 3,7.25,272,Fiction/modern,Minimalist,
White,7,244,Fiction/children's ,Minimalist,
Black,7,376,Nonfiction/history,Remniscence ,
Grey,6.5,118,Nonfiction/music ,Excited,
Yellow 3,6.75,308,Fiction/children's classic,Minimalist,
Black,6.75,160,Nonfiction/erotica,Wistful,
White,7,176,Nonfiction/humor,Wistful,
White,7,182,Fiction/modern classic,Nostalgic ,
White,6.5,152,Fiction/erotica,Wistful,
Multi,6.75,138,Fiction/19th cent,Minimalist,
Blue 2,7.25,162,Philosophy,Ambivalent,
Brown 2,7,380,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,780,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,788,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,848,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,382,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,364,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,830,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,762,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,860,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,882,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,485,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,838,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,856,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,486,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,522,Fiction/19th cent classic,Burden,Charles Dickens
Brown 2,7,486,Fiction/19th cent classic,Burden,Charles Dickens
Multi,7.75,308,Fiction/modern,Excited,Waugh
Blue 2,8,192,History/SF,Excited,
Multi,9.5,342,Nonfiction/essays,Excited,
Orange 3,9.5,322,Nonfiction/history,Wistful,
Blue 1,10.75,134,Comics/alternative,Wistful,
Multi,8.5,292,Sports/gymnastics,Affectionate,
Pink 3,8.75,178,Nonfiction/essays,Curious,
Multi,9.25,342,Nonfiction/history,Affectionate,
White,9,348,Nonfiction/history,Nostalgic,
Orange 3,7.75,418,Nonfiction/history,Affectionate,Mike Davis 
Multi,8,432,Nonfiction/history,Nostalgic,Mike Davis 
Green 1,8.5,358,Nonfiction/essays,Minimalist,
Brown 1,8.25,240,Poetry,Nostalgic,
Black,8.25,192,French,Guilty,
Multi,9,236,Poetry,Nostalgic,Maggie Dubris
Multi,7.75,240,Sports/rowing,Affectionate,
Multi,8,88,Fiction/contemporary ,Nostalgic,
Brown 2,8.5,168,Fiction/modern,Minimalist,
Blue 2,8.5,192,Fiction/modern,Affectionate,Karel Capek
Black,9.25,672,Fiction/postmodern,Introspective,
Multi,8.75,436,Fiction/postmodern,Minimalist,
Multi,9.5,562,Fiction/general,Cringestalgia,
Multie,8.5,256,Fiction/modern,Introspective,
White,8.75,254,Nonfiction/essays,Wistful ,
Gray,8.5,182,Nonfiction ,Remembrance ,
Purple 2,8.25,244,Fiction/modern,Affectionate,
Black,9.25,374,Nonfiction/biography ,Ambivalent,
Gray,9.5,558,Nonfiction/biography ,Minimalist,
Blue 3,8,306,Poetry,Wistful,NYRB
Green 1,7.75,666,Nonfiction/autobiography ,Excited,
Blue 2,8,346,Fiction/modern,Minimalist,
Orange 3,9,366,Literary theory,Wistful,Derrida
